	f21	f61	f39	f54	f41	f3	f93	f55	f20	f58	f85	f59	f7	f46	f89	f97	f26	f104	f34	f74	f35	f122	f70	f160	f30	f135	f38	f42	f147	f112	f151	f143	f50	f108	f78	f22	f11	preds_binary
67	0.00987	0.01195	0.0105	0.01104	0.01104	0.00869	-0.00201	0.04273	0.00869	0.01104	-0.00201	0.04273	0.00869	0.04273	-0.00201	-0.00201	0.0105	-0.02169	0.00987	0.01195	0.0105	0.05934	0.01195	0.01143	0.00987	0.05934	0.00987	0.04273	0.01143	-0.02169	0.01143	0.01143	0.01104	-0.02169	0.01195	0.0105	0.00869	1
68	0.00295	0.01758	0.00796	0.00703	0.00703	0.0032	-0.01484	-0.02146	0.0032	0.00703	-0.01484	-0.02146	0.0032	-0.02146	-0.01484	-0.01484	0.00796	-0.00969	0.00295	0.01758	0.00796	0.02278	0.01758	0.01097	0.00295	0.02278	0.00295	-0.02146	0.01097	-0.00969	0.01097	0.01097	0.00703	-0.00969	0.01758	0.00796	0.0032	1
69	-0.00047	-0.00922	-0.02127	0.00154	0.00154	0.01555	0.01834	0.011	0.01555	0.00154	0.01834	0.011	0.01555	0.011	0.01834	0.01834	-0.02127	-0.00163	-0.00047	-0.00922	-0.02127	0.02618	-0.00922	0.002	-0.00047	0.02618	-0.00047	0.011	0.002	-0.00163	0.002	0.002	0.00154	-0.00163	-0.00922	-0.02127	0.01555	0
70	0.00174	0.00697	0.03046	0.00442	0.00442	0.02798	0.00972	0.02257	0.02798	0.00442	0.00972	0.02257	0.02798	0.02257	0.00972	0.00972	0.03046	-0.03244	0.00174	0.00697	0.03046	0.0431	0.00697	0.0199	0.00174	0.0431	0.00174	0.02257	0.0199	-0.03244	0.0199	0.0199	0.00442	-0.03244	0.00697	0.03046	0.02798	1
71	-0.00024	-0.00855	-0.02089	0.00215	0.00215	0.01977	0.02048	0.00886	0.01977	0.00215	0.02048	0.00886	0.01977	0.00886	0.02048	0.02048	-0.02089	-0.00969	-0.00024	-0.00855	-0.02089	0.02621	-0.00855	0.01697	-0.00024	0.02621	-0.00024	0.00886	0.01697	-0.00969	0.01697	0.01697	0.00215	-0.00969	-0.00855	-0.02089	0.01977	0
72	0.00927	-0.0064	-0.00035	0.01083	0.01083	0.00711	-0.00879	-0.0311	0.00711	0.01083	-0.00879	-0.0311	0.00711	-0.0311	-0.00879	-0.00879	-0.00035	-0.02603	0.00927	-0.0064	-0.00035	0.05525	-0.0064	0.00711	0.00927	0.05525	0.00927	-0.0311	0.00711	-0.02603	0.00711	0.00711	0.01083	-0.02603	-0.0064	-0.00035	0.00711	1
73	-0.01018	0.00782	-0.00489	-0.01705	-0.01705	0.00898	-0.0094	0.00161	0.00898	-0.01705	-0.0094	0.00161	0.00898	0.00161	-0.0094	-0.0094	-0.00489	0.00917	-0.01018	0.00782	-0.00489	-0.00624	0.00782	-0.01563	-0.01018	-0.00624	-0.01018	0.00161	-0.01563	0.00917	-0.01563	-0.01563	-0.01705	0.00917	0.00782	-0.00489	0.00898	1
74	-0.00609	-0.00243	-0.00668	-0.00526	-0.00526	0.02733	-0.00883	0.02222	0.02733	-0.00526	-0.00883	0.02222	0.02733	0.02222	-0.00883	-0.00883	-0.00668	0.00769	-0.00609	-0.00243	-0.00668	-0.00176	-0.00243	0.02202	-0.00609	-0.00176	-0.00609	0.02222	0.02202	0.00769	0.02202	0.02202	-0.00526	0.00769	-0.00243	-0.00668	0.02733	0
75	-0.00432	-0.00025	-0.01097	-0.00181	-0.00181	0.0024	0.01713	-0.01652	0.0024	-0.00181	0.01713	-0.01652	0.0024	-0.01652	0.01713	0.01713	-0.01097	0.01305	-0.00432	-0.00025	-0.01097	0.0089	-0.00025	-0.00306	-0.00432	0.0089	-0.00432	-0.01652	-0.00306	0.01305	-0.00306	-0.00306	-0.00181	0.01305	-0.00025	-0.01097	0.0024	0
76	-0.00179	0.00055	0.00082	0.0016	0.0016	0.02358	0.03411	0.01544	0.02358	0.0016	0.03411	0.01544	0.02358	0.01544	0.03411	0.03411	0.00082	-0.00854	-0.00179	0.00055	0.00082	0.02733	0.00055	0.01858	-0.00179	0.02733	-0.00179	0.01544	0.01858	-0.00854	0.01858	0.01858	0.0016	-0.00854	0.00055	0.00082	0.02358	0
77	0.01124	0.01419	-0.02038	0.02709	0.02709	-0.00276	-0.01263	0.04988	-0.00276	0.02709	-0.01263	0.04988	-0.00276	0.04988	-0.01263	-0.01263	-0.02038	-0.02161	0.01124	0.01419	-0.02038	0.03511	0.01419	0.00373	0.01124	0.03511	0.01124	0.04988	0.00373	-0.02161	0.00373	0.00373	0.02709	-0.02161	0.01419	-0.02038	-0.00276	0
78	-0.00514	-0.01023	-0.01571	-0.02449	-0.02449	-0.00825	0.01184	0.00097	-0.00825	-0.02449	0.01184	0.00097	-0.00825	0.00097	0.01184	0.01184	-0.01571	-0.0094	-0.00514	-0.01023	-0.01571	-0.02302	-0.01023	0.00119	-0.00514	-0.02302	-0.00514	0.00097	0.00119	-0.0094	0.00119	0.00119	-0.02449	-0.0094	-0.01023	-0.01571	-0.00825	1
